seq_num,timestamp,TgenCAM,latitude,longitude,heading,velocity,size,trig_vel,trig_head,trig_distance,trig_timeout
0,1641550671116530,600,44.632211,10.948803,307.8,3.64,100,1,0,0,0
1,1641550672116549,1000,44.632243,10.948785,331.2,3.33,100,0,1,0,0
2,1641550673116537,1000,44.632268,10.948721,310.1,4.15,100,1,1,1,0
3,1641550673216533,100,44.632271,10.948712,304.8,4.72,100,1,0,0,0
4,1641550674116540,900,44.632302,10.94867,307.7,5.32,100,1,0,1,0
5,1641550674916547,800,44.632325,10.948629,307.6,5.31,100,0,0,1,0
6,1641550675916556,1000,44.63235,10.948592,310.0,4.92,100,0,0,1,0
7,1641550676116561,200,44.632352,10.948594,309.1,3.99,100,1,0,0,0
8,1641550677116561,1000,44.63237,10.948554,298.5,3.91,100,0,1,0,0
9,1641550678116911,1000,44.632398,10.948505,310.2,4.43,100,1,1,1,0
10,1641550679216539,1100,44.63242,10.94846,306.7,4.55,100,0,0,1,0
11,1641550680116554,900,44.632447,10.94842,311.4,4.86,100,0,0,1,0
12,1641550681018868,900,44.632471,10.948381,307.5,4.73,100,0,0,1,0
13,1641550681416557,400,44.632496,10.948342,312.0,4.83,100,0,0,1,0
14,1641550682116543,700,44.63252,10.948302,310.2,4.34,100,0,0,1,0
15,1641550683116544,1000,44.632546,10.948254,308.9,4.26,100,0,0,1,0
16,1641550684016547,900,44.632568,10.948214,308.7,4.32,100,0,0,1,0
17,1641550684116538,100,44.632572,10.94822,324.1,3.45,100,1,1,0,0
18,1641550684216536,100,44.63258,10.948219,334.7,3.88,100,0,1,0,0
19,1641550685116538,900,44.632616,10.948193,341.0,4.66,100,1,0,1,0
20,1641550686116540,1000,44.632645,10.948182,339.4,3.79,100,1,0,0,0
21,1641550687116540,1000,44.632679,10.948148,324.2,4.23,100,0,1,1,0
22,1641550688116540,1000,44.632705,10.948107,314.6,3.95,100,0,0,1,0
23,1641550688516542,400,44.632716,10.94809,311.6,4.56,100,1,0,0,0
24,1641550689116543,600,44.632729,10.948051,297.5,4.88,100,0,1,0,0
25,1641550689916539,800,44.632743,10.948004,290.7,5.24,100,0,0,1,0
26,1641550690116536,200,44.632724,10.948006,261.0,3.62,100,1,1,0,0
27,1641550690516538,400,44.63272,10.947988,249.1,3.75,100,0,1,0,0
28,1641550690916538,400,44.632713,10.947971,238.5,4.02,100,0,1,0,0
29,1641550691116536,200,44.632741,10.947945,285.3,4.79,100,1,1,0,0
30,1641550691916540,800,44.632751,10.947896,287.2,5.32,100,1,0,1,0
31,1641550692116539,200,44.632766,10.947898,297.7,4.17,100,1,1,0,0
32,1641550693116540,1000,44.632793,10.947841,302.2,4.5,100,0,0,1,0
33,1641550694016545,900,44.632815,10.947797,305.7,4.91,100,0,0,1,0
34,1641550694116536,100,44.63282,10.947809,321.4,3.62,100,1,1,0,0
35,1641550695116537,1000,44.632845,10.947751,303.7,3.98,100,0,1,1,0
36,1641550695816532,700,44.632859,10.947719,303.0,4.51,100,1,0,0,0
37,1641550696416545,600,44.632866,10.947686,303.9,3.97,100,1,0,0,0
38,1641550697216543,800,44.632883,10.947642,303.0,4.56,100,1,0,0,0
39,1641550697316538,100,44.632885,10.947641,304.6,3.95,100,1,0,0,0
40,1641550698216541,900,44.632904,10.947593,306.0,4.23,100,0,0,1,0
41,1641550699116537,900,44.632934,10.947555,316.1,4.26,100,0,1,1,0
42,1641550700116543,1000,44.632956,10.947506,298.2,4.3,100,0,1,1,0
43,1641550701016557,900,44.63297,10.947458,287.3,4.66,100,0,1,1,0
44,1641550701116540,100,44.63298,10.947463,308.8,4.22,100,0,1,0,0
45,1641550702116545,1000,44.633001,10.947409,300.0,4.49,100,0,0,1,0
46,1641550703016564,900,44.633018,10.947363,297.9,4.62,100,0,0,1,0
47,1641550703516538,500,44.633029,10.947342,308.4,4.38,100,0,1,0,0
48,1641550704116532,600,44.633048,10.947312,302.9,5.02,100,1,0,0,0
49,1641550704916543,800,44.633069,10.94727,307.6,5.16,100,0,0,1,0
50,1641550705116535,200,44.633064,10.947254,289.5,5.04,100,0,1,0,0
51,1641550705916548,800,44.633074,10.947203,282.1,5.45,100,0,0,1,0
52,1641550706116544,200,44.633087,10.947198,295.3,4.74,100,1,1,0,0
53,1641550707016543,900,44.633103,10.94715,294.6,4.72,100,0,0,1,0
54,1641550707116537,100,44.63311,10.947166,312.8,3.89,100,1,1,0,0
55,1641550708316536,1200,44.633136,10.947122,305.1,4.6,100,1,0,1,0
56,1641550709116559,800,44.633155,10.947077,300.0,4.32,100,0,0,1,0
57,1641550710116548,1000,44.633187,10.947043,318.7,3.38,100,1,1,1,0
58,1641550710917411,800,44.633206,10.947024,329.5,3.14,100,0,1,0,0
59,1641550711116861,200,44.633215,10.946997,305.8,4.47,100,1,1,0,0
60,1641550712016542,900,44.633249,10.946962,319.7,4.75,100,0,1,1,0
61,1641550712516539,500,44.633261,10.94694,311.6,4.13,100,1,0,0,0
62,1641550712816547,300,44.633266,10.946931,304.7,3.46,100,1,0,0,0
63,1641550713016537,200,44.633271,10.946922,308.4,4.04,100,1,0,0,0
64,1641550713316544,300,44.633274,10.946901,8.0,3.67,100,0,1,0,0
65,1641550713416538,100,44.633276,10.946896,303.8,3.93,100,0,1,0,0
66,1641550713716540,300,44.633284,10.946882,304.7,4.47,100,1,0,0,0
